"firstname","lastname","gender","phone_no","email","password"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","vijay"
"","",,,"",""
"Vijaykumar","munikoti",,,"",""
"Vijaykumar","munikoti","male",964681674,"munikotivijaykumar@gmail.com","sDssdfs"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","EDAEDwrgfawr"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","EDAEDwrgfawr"
"Vijaykumar","munikoti","male",68468161,"fwesarfarf@gmail.com","EFASEFWFW"
"Vijaykumar","munikoti","male",68468161,"fwesarfarf@gmail.com","EFASEFWFW"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","sdfasf"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","sdfasf"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","arfarfaerf"
"Vijaykumar","munikoti","male",9632584100,"vijay@gmail.com","arefrsfaref"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","afwefarwf"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","afwefarwf"
"Vijaykumar","munikoti","male",1234567890,"munikotivijaykumar@gmail.com","rsergsgr"
"Vijaykumar11232","munikoti","male",9398325857,"vijay@gmail.com","asfasdfa"
"Vijaykumar11232","munikoti","male",9398325857,"vijay@gmail.com","asfasdfa"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","ersgsergf"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","ersgsergf"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","ersgsergf"
"Vijaykumar","munikoti","male",9398325857,"vijay@gmail.com","EFAWEFAWFW"
